vin,inv,desc,anio,kms,color,precio,bono,garantia,ubicacion,grupo,condicion,link,tipo,estatus,foraneo,cil,lts,trans
PUA00848,5291,FORD ESCAPE ST LINE,2023,"21,255",GRIS,$0.00,,VALIDAR,POR RECIBIR MXLI,Mexicali,Financiera/Banco con convenio,,SUV COMPACTAS,POR RECIBIR,N,4,2.5,AUT
LE288435,5278,KIA RIO LX HB,2020,"51,228",AZUL,"$190,000.00",,EXCELLENCE (DEFENSA A DEFENSA),AUTOSTAR TJ,Tijuana,Financiera/Banco con convenio,,SEDANES SUB-COMPACTOS,APARTADO,N,4,1.6,AUT
N1252241,5265,TOYOTA YARIS CORE,2022,"78,929",PLATA,"$210,000.00",,EXCELLENCE (DEFENSA A DEFENSA),AUTOSTAR,Mexicali,Financiera/Banco con convenio,,SEDANES SUB-COMPACTOS,APARTADO,N,4,1.5,AUT
PM473326,5252,MAZDA 2 HB IGT,2023,"36,242",ROJO,"$255,000.00",,VALIDAR,AUTOSTAR TJ,Tijuana,Financiera/Banco con convenio,https://autostar.com.mx/auto/9690070/Seminuevo/Mazda-2-2023,SEDANES SUB-COMPACTOS,APARTADO,N,4,1.5,AUT
RF859254,5078,CHEVROLET AVEO LT,2024,"43,773",ROJO,"$230,000.00","$20,000.00",3 MESES MOTOR Y TRANSMISIÓN,AUTOSTAR TJ,Tijuana,Financiera/Banco con convenio,https://autostar.com.mx/auto/4911094/Seminuevo/Chevrolet-Aveo-2024,SEDANES SUB-COMPACTOS,APARTADO,N,4,1.5,STD
ME391783,5273,KIA RIO EX,2021,"30,187",ROJO,"$199,000.00",,EXCELLENCE (DEFENSA A DEFENSA),POR RECIBIR ENS,Otro,Financiera/Banco con convenio,,SEDANES SUB-COMPACTOS,APARTADO,N,4,1.6,AUT
R0041002,5287,TOYOTA YARIS S,2024,"28,183",ROJO,"$305,000.00",,VALIDAR,POR RECIBIR MXLI,Mexicali,Financiera/Banco con convenio,,SEDANES SUB-COMPACTOS,POR RECIBIR,N,4,1.5,AUT
MU419674,5217,TOYOTA CAMRY XLE,2021,"104,677",PLATA,"$345,000.00","$20,000.00",3 MESES MOTOR Y TRANSMISIÓN,AUTOSTAR,Mexicali,Financiera/Banco con convenio,,SEDANES MEDIANOS,VENTA URGENTE,N,4,2.5,AUT
P1611349,5283,MAZDA 3 HB CE,2023,"21,666",NEGRO,"$385,000.00",,VALIDAR,MAZDA TJ,Tijuana,Financiera/Banco con convenio,,SEDANES COMPACTOS,DISPONIBLE,N,4,2.5,AUT
R1656295,5282,MAZDA 3 HB IGT,2024,"56,654",ROJO,"$375,000.00",,VALIDAR,CARROCERIA MXLI,Mexicali,Financiera/Banco con convenio,,SEDANES COMPACTOS,DISPONIBLE,N,4,2.5,AUT
